City,Station,FileName,Lat,Long,Address
Ahmednagar,"Tarakpur, Ahmednagar - MPCB",Ahmednagar_Tarakpur__Ahmednagar_-_MPCB.csv,19.10122,74.73339,"New Arts, Commerce &amp; Science College, Lal Taki Road, Tarakpur, Ahmednagar."
Akola,"Ramdaspeth, Akola - MPCB",Akola_Ramdaspeth__Akola_-_MPCB.csv,20.719516,77.000253,"Shri Shivaji College, Near Akot Road, behind Shivaji Park, Ramdaspeth, Akola."
Amravati,"Shivneri Colony, Amravati - MPCB",Amravati_Shivneri_Colony__Amravati_-_MPCB.csv,20.9402359,77.7895248,"MPCB Premises, University Road, Beside Post office Colony, Amravati"
Amravati,"Shri Shivaji Science College, Amravati - MPCB",Amravati_Shri_Shivaji_Science_College__Amravati_-_MPCB.csv,20.939198,77.765701,"Shri Shivaji Science College, Amravati - MPCB"
Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB",Aurangabad_MIDC_Chilkalthana__Aurangabad_-_MPCB.csv,19.87562,75.38731,"MPCB Regional Office, Behind Dhoot Hospital, Near BMW Service Center, Aurangabad"
Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",Aurangabad_More_Chowk_Waluj__Aurangabad_-_MPCB.csv,19.8389439,75.244448,
Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",Aurangabad_Rachnakar_Colony__Aurangabad_-_MPCB.csv,19.863756,75.321188,"Deogiri College of Engineering And Management Campus, Railways Station Road, Aurangabad."
Badlapur,"Katrap, Badlapur - MPCB",Badlapur_Katrap__Badlapur_-_MPCB.csv,19.16485,73.23409,"Shree Prakash Amte Udyan, Near Vivekanand Soc, Badlapur East"
Belapur,"CBD Belapur, Belapur - MPCB",Belapur_CBD_Belapur__Belapur_-_MPCB.csv,19.0243902,73.0406721,"CBD Fire station, Near Sion Panvel Highway, Belapur, Sector-1A, Navi Mumbai."
Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",Bhiwandi_Gokul_Nagar__Bhiwandi_-_MPCB.csv,19.309073,73.057223,"Municipal Corporation Kondawada, Kombadpada, Gokul Nagar. Bhiwandi.(Near Fire Brigade Station)"
Boisar,"Khaira, Boisar - MPCB",Boisar_Khaira__Boisar_-_MPCB.csv,19.786089,72.757971,"JSW Housing Complex, Tarapur M.I.D.C., Khaira, Maharashtra 401501"
